1938	1	1	1011.1	1013.9	1017.2
1939	1	2	1021.5	1022.4	1024.8
1940	1	3	1021.9	1017.1	1012.2
1941	1	4	1017.0	1017.0	1015.0
1942	1	5	1002.0	996.0	993.0
1943	8	8	994.6	995.1	995.9
1944	1	7	994.6	995.1	995.9
1945	2	4	994.6	995.1	995.9
1946	1	3	984.6	995.1	995.9
1947	1	2	994.6	995.1	995.9
1948	1	1	994.6	995.1	995.9
1949	12	6	984.6	995.1	965.9
1950	11	6	994.6	995.1	998.9
1951	10	6	994.6	997.1	995.4
1952	9	6	974.6	988.1	975.3
1953	8	6	994.6	995.1	995.2
1954	7	6	924.6	995.1	985.1
1955	6	6	1004.6	997.1	995.5
1956	5	6	994.6	995.1	995.0
1957	4	6	994.6	978.1	995.9
1958	3	6	998.6	995.1	995.6
1959	2	6	994.6	1005.1	965.9
1960	1	6	994.6	996.1	995.9
